,rf__bootstrap,rf__max_features,rf__n_estimators,rf__oob_score,r2_score
RF_SUMMER_nc,True,1,200,True,0.16384347561223855
RF_SUMMER_pc,True,1,100,True,-0.028043618971073547
RF_WINTER_nc,True,1,64,True,0.14277062900787518
RF_WINTER_pc,True,1,200,True,-0.18040314306024618
RF_SW_nc,True,1,200,True,0.1573057886762531
RF_SW_pc,True,1,100,True,0.5797338727558712
RF_NE_nc,True,1,64,True,-0.010051048844779809
RF_NE_pc,True,1,128,True,-0.08029957523277331
RF_SUMMER_nci,True,1,128,True,0.7724038449656407
RF_SUMMER_pci,True,1,200,True,0.7796863074437632
RF_WINTER_nci,True,2,64,True,0.6596990981029884
RF_WINTER_pci,True,2,64,True,0.6535619820648914
RF_SW_nci,True,1,200,True,0.5634618696584972
RF_SW_pci,True,1,200,True,0.6730913890328736
RF_NE_nci,True,1,128,True,0.6337445458206694
RF_NE_pci,True,1,200,True,0.47698804049697674
