,svr__C,svr__degree,svr__epsilon,svr__gamma,svr__kernel,r2_score
SVR_SUMMER_nc,10,2,0.5,scale,rbf,0.38619112684128487
SVR_SUMMER_pc,10,2,0,auto,rbf,0.2251960134361063
SVR_WINTER_nc,10,2,0.1,scale,rbf,0.18873719895699548
SVR_WINTER_pc,10,2,0.25,scale,rbf,0.06084530456001924
SVR_SW_nc,10,2,0.5,scale,rbf,0.33001474683790943
SVR_SW_pc,10,2,0.25,auto,rbf,0.5718464296539711
SVR_NE_nc,10,2,0.5,scale,rbf,0.21104236033963275
SVR_NE_pc,10,2,0.1,auto,rbf,0.17011234445651047
SVR_SUMMER_nci,10,2,0.5,auto,rbf,0.3858647465619469
SVR_SUMMER_pci,10,2,0.1,scale,rbf,0.7326519091240796
SVR_WINTER_nci,10,2,0.5,scale,rbf,0.44863537742420845
SVR_WINTER_pci,10,2,0.5,scale,rbf,0.3480328454895605
SVR_SW_nci,10,2,0.5,scale,rbf,0.2299934742432912
SVR_SW_pci,10,2,0.25,scale,rbf,0.5368769285736192
SVR_NE_nci,10,2,0.5,scale,rbf,0.291385443212579
SVR_NE_pci,10,2,0.25,scale,rbf,0.25315202050693353
